id,Ticker,Date Purchased,Price Purchased,Date Last Refreshed,Current Price,Value Increase
0,AA,52:23.1,21.83,52:23.1,21.83,0
1,OSMT,52:23.5,5.82,52:23.5,5.82,0
2,ORGS,52:24.0,4.62,52:24.0,4.62,0
3,ORI,52:24.3,18.4,52:24.3,18.4,0
4,ORIC,52:24.7,34.13,52:24.7,34.13,0
5,ORKLY,52:25.2,9.68,52:25.2,9.68,0
6,ORPH,52:25.7,9.59,52:25.7,9.59,0
7,ORRF,52:26.1,16.15,52:26.1,16.15,0
8,OSB,52:26.5,38.95,52:26.5,38.95,0
9,OSBC,52:26.8,10,52:26.8,10,0
10,OSH,52:27.3,44.99,52:27.3,44.99,0
11,OSK,52:27.7,82.49,52:27.7,82.49,0
12,OSPN,52:28.1,20.21,52:28.1,20.21,0
13,ORCC,52:28.5,13.46,52:28.5,13.46,0
14,OSUR,52:29.0,12.32,52:29.0,12.32,0
15,OSW,52:29.4,8.56,52:29.4,8.56,0
16,OTEX,52:29.7,44.39,52:29.7,44.39,0
17,OTIS,52:30.1,66.83,52:30.1,66.83,0
18,OTRK,52:30.7,50.84,52:30.7,50.84,0
19,OTTR,52:31.1,40.67,52:31.1,40.67,0
20,OUT,52:31.5,19.25,52:31.5,19.25,0
21,OVCHY,52:31.9,14.84,52:31.9,14.84,0
22,OVID,52:32.4,6.65,52:32.4,6.65,0
23,OVLY,52:32.8,18.2,52:32.8,18.2,0
24,ORCL,52:33.2,58.74,52:33.2,58.74,0
